,date,open,close,high,low,volume,dopen,dclose,dhigh,dlow,dvolume,price
0,2012-01-03,0.37605900411428755,0.3809639727060107,0.38554460930350054,0.37605900411428755,0.2974590298113825,0.37605900411428755,0.3809639727060107,0.38554460930350054,0.37605900411428755,0.2974590298113825,66.31673431396484
1,2012-01-04,0.3786533817246854,0.3844906462986875,0.3871660837123547,0.3786533817246854,0.2668364284545008,0.0025943776103978244,0.0035266735926768322,0.0016214744088541844,0.0025943776103978244,-0.030622601356881718,66.93061828613281
2,2012-01-05,0.3844501009335269,0.3872065981504633,0.38980097576086115,0.38063967163882945,0.20210989650593864,0.005796719208841505,0.0027159518517758108,0.002634892048506421,0.001986289914144068,-0.06472653194856215,67.4034423828125
3,2012-01-06,0.38927397879492864,0.3881795013520071,0.3899630953673998,0.38639587640956224,0.19913421488204588,0.00482387786140176,0.0009729032015437511,0.00016211960653866875,0.005756204770732798,-0.002975681623892751,67.5727767944336
4,2012-01-09,0.38951718913178857,0.3936114050555586,0.39486806395912283,0.3891523736264987,0.2377744229614944,0.00024321033685992255,0.0054319037035515105,0.0049049685917230135,0.0027564972169364377,0.03864020807944851,68.51835632324219
5,2012-01-10,0.3990838541242709,0.40520490532734554,0.40528599605766685,0.3983947375517997,0.34722348533076264,0.009566664992482321,0.01159350027178696,0.010417932098544025,0.009242363925301034,0.10944906236926824,70.53651428222656
6,2012-01-11,0.40467793928846496,0.4039077319856726,0.4071911952414896,0.4029348597111809,0.2628821913821641,0.005594085164194074,-0.0012971733416729525,0.0019051991838227589,0.00454012215938121,-0.08434129394859852,70.31072235107422
7,2012-01-12,0.40532651049577545,0.4132311866412949,0.4136365475117455,0.39993515215738457,0.3809381763946234,0.0006485712073104888,0.009323454655622287,0.0064453522702558885,-0.0029997075537963602,0.11805598501245929,71.93368530273438
8,2012-01-13,0.4082857036114632,0.4154201724541902,0.4163119539983607,0.40759658703899204,0.36065770566943745,0.0029591931156877638,0.0021889858128953388,0.002675406486615184,0.007661434881607476,-0.02028047072518596,72.3147201538086
9,2012-01-17,0.42085207615774184,0.41902793677718847,0.42482468691308184,0.41882524087843714,0.3224758544171411,0.012566372546278626,0.0036077643229982526,0.008512732914721155,0.011228653839445102,-0.03818185125229634,72.94274139404297
10,2012-01-18,0.416149834391822,0.4226357011001866,0.4236085733746783,0.41550123225745955,0.2471634624129213,-0.0047022417659198235,0.0036077643229981415,-0.0012161135384035626,-0.003324008620977592,-0.0753123920042198,73.8996353149414
