,date,open,close,high,low,volume,dopen,dclose,dhigh,dlow,dvolume,price
0,2012-01-03,0.18702591085431106,0.18870062342170713,0.18943945559600034,0.18687812938764395,0.11101844511026682,0.18702591085431106,0.18870062342170713,0.18943945559600034,0.18687812938764395,0.11101844511026682,33.88205337524414
1,2012-01-04,0.18810953513455986,0.19136044555482742,0.1920500485564992,0.18776474302860427,0.11314289898147481,0.0010836242802488016,0.0026598221331202987,0.00261059296049887,0.0008866136409603209,0.002124453871207993,34.35963439941406
2,2012-01-05,0.19126194963006346,0.19456210801271304,0.1949561668708112,0.19062161338053424,0.16390556304891735,0.0031524144955036026,0.0032016624578856123,0.0029061183143119784,0.0028568703519299687,0.05076266406744254,34.93450927734375
3,2012-01-06,0.1948083854041441,0.1965816126860647,0.1977637704705986,0.19431583062128197,0.16475786145174445,0.0035464357740806474,0.0020195046733516575,0.002807603599787406,0.003694217240747727,0.0008522984028271063,35.297119140625
4,2012-01-09,0.19574426579724694,0.19579351375962895,0.19825632525346074,0.19500541483319317,0.13894408808074984,0.0009358803931028281,-0.0007880989264357485,0.0004925547828621424,0.0006895842119112039,-0.025813773370994608,35.15561294555664
5,2012-01-10,0.1944635932981885,0.19520244426224226,0.1965816126860647,0.19288739544531697,0.16097457176295352,-0.001280672499058444,-0.000591069497386687,-0.0016747125673960417,-0.002118019387876202,0.022030483682203672,35.04948425292969
6,2012-01-11,0.19402028647770833,0.19062161338053424,0.1947098706896196,0.18939020763361833,0.18599095991680653,-0.00044330682048016046,-0.00458083088170802,-0.0018717419964451032,-0.0034971878116986377,0.025016388153853014,34.22697830200195
7,2012-01-12,0.1902275545224361,0.19076937605744076,0.19140971230697,0.18919317820456927,0.1152421843092436,-0.003792731955272244,0.00014776267690652656,-0.003300158382649604,-0.0001970294290490615,-0.07074877560756293,34.253509521484375
8,2012-01-13,0.18948872234814287,0.18914393024218726,0.19007979184552956,0.18727218824574213,0.11300332796785748,-0.0007388321742932136,-0.0016254458152535067,-0.0013299204614404259,-0.0019209899588271406,-0.002238856341386125,33.961647033691406
9,2012-01-17,0.19057234662839168,0.18953797031052488,0.19200078180435667,0.18919317820456927,0.10459589043446627,0.0010836242802488016,0.0003940400683376255,0.0019209899588271129,0.0019209899588271406,-0.00840743753339121,34.03239822387695
10,2012-01-18,0.1896857329874314,0.19219781123340576,0.19259185130174333,0.18914393024218726,0.10976345001241267,-0.0008866136409602654,0.0026598409228808795,0.0005910694973866593,-4.924796238200968e-05,0.005167559577946401,34.50998306274414
11,2012-01-19,0.19214854448126323,0.19426656386913937,0.19441434533580648,0.19209929651888122,0.088444549694717,0.002462811493831818,0.0020687526357336117,0.001822494034063149,0.0029553662766939603,-0.021318900317695663,34.881439208984375
